PCA dim:,accuracy,sample_size,time
10,0.6433333333333333,1000,1.1224119663238525
10,0.635,2000,6.630147695541382
10,0.7,3000,15.187037706375122
20,0.6433333333333333,1000,1.3342180252075195
20,0.635,2000,7.723252296447754
20,0.7,3000,20.5010929107666
50,0.6433333333333333,1000,2.1236205101013184
50,0.635,2000,10.954722166061401
50,0.7,3000,24.28667140007019
100,0.6433333333333333,1000,2.1340718269348145
100,0.635,2000,7.2758848667144775
100,0.7,3000,14.859306812286377
10,0.6433333333333333,1000,1.0722177028656006
10,0.635,2000,5.915379047393799
10,0.7,3000,14.64068341255188
20,0.6433333333333333,1000,1.327268362045288
20,0.635,2000,7.522036552429199
20,0.7,3000,18.80457878112793
50,0.6433333333333333,1000,2.0799694061279297
50,0.635,2000,10.096832275390625
50,0.7,3000,23.344318389892578
100,0.6433333333333333,1000,2.1473283767700195
100,0.635,2000,7.2957923412323
100,0.7,3000,14.822645425796509
10,0.6433333333333333,1000,1.1252355575561523
10,0.635,2000,6.32291841506958
10,0.7,3000,15.4710693359375
10,0.7,1000,1.053100347518921
10,0.635,2000,5.930172681808472
10,0.6433333333333333,3000,15.657564640045166
10,0.59875,4000,30.297993898391724
20,0.7,1000,1.2725725173950195
20,0.635,2000,8.30172085762024
20,0.6433333333333333,3000,21.329355001449585
20,0.59875,4000,35.013006925582886
50,0.7,1000,2.0146586894989014
50,0.635,2000,10.104604959487915
50,0.6433333333333333,3000,23.683489322662354
50,0.59875,4000,43.38633441925049
100,0.7,1000,2.222090482711792
100,0.635,2000,7.403899669647217
100,0.6433333333333333,3000,15.33850622177124
100,0.6,4000,24.873919248580933
200,0.7,1000,1.805419683456421
200,0.635,2000,6.490609884262085
200,0.6433333333333333,3000,13.879158973693848
200,0.59875,4000,24.27996325492859
500,0.7,1000,2.806004285812378
500,0.635,2000,10.706324815750122
500,0.6433333333333333,3000,26.56495451927185
500,0.59875,4000,47.65907144546509
