PCA dim:,accuracy,sample_size,time
10,0.7,1000,1.0808591842651367
10,0.635,2000,6.714487791061401
10,0.6433333333333333,3000,17.460549354553223
10,0.59875,4000,30.87120771408081
20,0.7,1000,1.501450538635254
20,0.635,2000,8.743287086486816
20,0.6433333333333333,3000,21.379709005355835
20,0.59875,4000,38.941455602645874
50,0.7,1000,2.2117345333099365
50,0.635,2000,11.254405736923218
50,0.6433333333333333,3000,26.400837898254395
50,0.59875,4000,45.322964906692505
100,0.7,1000,2.2525320053100586
100,0.635,2000,8.238752365112305
100,0.6433333333333333,3000,17.068437099456787
100,0.6,4000,28.105109214782715
200,0.7,1000,2.016570806503296
200,0.635,2000,7.2510106563568115
200,0.6433333333333333,3000,15.752817392349243
200,0.59875,4000,27.075560569763184
500,0.7,1000,3.0679874420166016
500,0.635,2000,12.096000671386719
500,0.6433333333333333,3000,26.652642965316772
500,0.59875,4000,46.750009298324585
